id,type of property,subtype of property,locality,province,postalCode,price,type of sale,number of bedrooms,living area,fully equipped kitchen,furnished,open fire,terrace,terrace area,garden,garden area,total property area,total land area,number of facades,swimming pool,state of the building
10670614,APARTMENT,DUPLEX,Schaerbeek,Brussels,1030,495000,residential_sale,3,40,not_installed,,True,True,57.0,,,119.0,0.0,3.0,,just_renovated
10670613,APARTMENT,PENTHOUSE,Schaerbeek,Brussels,1030,495000,residential_sale,3,40,not_installed,,True,True,57.0,,,119.0,0.0,3.0,,just_renovated
10661548,HOUSE,VILLA,Saint-Georges-Sur-Meuse,Liège,4470,479000,residential_sale,4,0,0,False,False,,,,,248.0,1989.0,4.0,False,0
10662471,HOUSE,MIXED_USE_BUILDING,Bruxelles,Brussels,1020,495000,residential_sale,0,0,semi_equipped,,False,True,23.0,,,330.0,68.0,2.0,False,good
10660088,HOUSE,VILLA,Knokke-Heist Knokke,West Flanders,8300,5650000,residential_sale,6,0,0,False,False,True,,,,402.0,561.0,4.0,False,as_new
10668376,HOUSE,HOUSE,Zedelgem,West Flanders,8210,185000,residential_sale,3,0,semi_equipped,,True,,,,,125.0,216.0,3.0,,to_renovate
10666119,HOUSE,HOUSE,Erembodegem,East Flanders,9320,199000,residential_sale,3,0,0,,False,,,,,121.0,651.0,3.0,,to_renovate
10668168,HOUSE,HOUSE,Ronse,East Flanders,9600,225000,residential_sale,2,0,installed,,True,True,,,,145.0,280.0,2.0,,good
10487393,HOUSE,COUNTRY_COTTAGE,Ronse,East Flanders,9600,395000,residential_sale,3,0,installed,,True,True,,True,,147.0,3535.0,4.0,,to_renovate
10666852,HOUSE,VILLA,Overijse,Flemish Brabant,3090,640000,residential_sale,4,37,semi_equipped,False,False,,,True,230.0,190.0,560.0,4.0,False,to_renovate
10551415,HOUSE,HOUSE,Malle,Antwerp,2390,749900,residential_sale,7,60,0,,True,True,50.0,True,1000.0,400.0,1470.0,4.0,,as_new
10673880,HOUSE,MANSION,Rumst,Antwerp,2840,297000,residential_sale,4,0,semi_equipped,,True,True,,,,220.0,210.0,3.0,,to_renovate
10673980,HOUSE,HOUSE,Loncin,Liège,4431,330000,residential_sale,3,28,installed,,True,True,20.0,True,200.0,,323.0,2.0,,0
10674045,HOUSE,FARMHOUSE,Beloeil,Hainaut,7970,525000,residential_sale,2,50,semi_equipped,,True,True,,True,15264.0,400.0,15264.0,4.0,,good
10674055,HOUSE,HOUSE,SINT-GENESIUS-RODE,Flemish Brabant,1640,619000,residential_sale,4,48,installed,,True,True,,True,230.0,282.0,0.0,3.0,,good
10674648,HOUSE,VILLA,Nukerke,East Flanders,9681,650000,residential_sale,4,0,installed,,True,True,,,,500.0,2975.0,4.0,,0
10673801,HOUSE,HOUSE,Aalst,East Flanders,9300,679000,residential_sale,4,0,installed,,True,True,40.0,True,715.0,210.0,879.0,3.0,,0
10673800,HOUSE,HOUSE,Aalst,East Flanders,9300,679000,residential_sale,4,0,installed,,True,True,40.0,True,715.0,210.0,879.0,3.0,,0
10673110,HOUSE,HOUSE,Woluwe-Saint-Lambert,Brussels,1200,840000,residential_sale,4,0,usa_hyper_equipped,False,False,True,18.0,True,65.0,225.0,130.0,2.0,False,as_new
10674141,HOUSE,APARTMENT_BLOCK,Bruxelles,Brussels,1000,1075000,residential_sale,8,0,hyper_equipped,False,False,True,12.0,,,663.0,251.0,2.0,False,as_new
10620606,HOUSE,VILLA,Waterloo,Walloon Brabant,1410,2250000,residential_sale,7,43,installed,,True,True,200.0,True,500.0,886.0,1359.0,4.0,True,as_new
10674046,HOUSE,EXCEPTIONAL_PROPERTY,Silly,Hainaut,7830,2700000,residential_sale,7,56,installed,False,True,True,300.0,True,,887.0,51805.0,4.0,True,as_new
10446680,HOUSE,HOUSE,Houffalize,Luxembourg,6660,189000,residential_sale,3,0,0,False,False,,,,,164.0,92.0,2.0,False,to_be_done_up
